seed,candidate,baseline,metric,delta,ci_low,ci_high,improved,unchanged,worsened
62,hybrid_candidate_union,tfidf_combined_enriched,recall@100,-0.05778755241445201,-0.09642837300803334,-0.01785650329119546,14,92,44
62,hybrid_candidate_union,tfidf_combined_enriched,ndcg@10,0.022171402079838323,-0.0012666129628858042,0.04462373501296117,56,67,27
62,hybrid_candidate_union,tfidf_combined_enriched,mrr,0.03622119979286227,0.007020973727942138,0.06347966075398417,31,110,9
72,semantic_e5_small,tfidf_combined_enriched,recall@50,-0.11516549641148516,-0.16212953442539788,-0.07187954650530556,23,73,54
72,semantic_e5_small,tfidf_combined_enriched,recall@100,-0.11232126892411065,-0.16196793573135929,-0.07188250451377493,20,81,49
72,semantic_e5_small,tfidf_combined_enriched,ndcg@10,-0.0789929389611108,-0.1306020098784807,-0.02885091458008813,52,27,71
72,semantic_e5_small,tfidf_combined_enriched,mrr,-0.025612039848485674,-0.0836236852354298,0.030453737692844304,37,71,42
72,hybrid_weighted,tfidf_combined_enriched,recall@50,0.007945968590796179,-0.004973732873129426,0.01956894279092555,18,125,7
72,hybrid_weighted,tfidf_combined_enriched,recall@100,-0.0005516705516705519,-0.0024242424242424242,0.0007692307692307687,1,148,1
72,hybrid_weighted,tfidf_combined_enriched,ndcg@10,0.015171552582182187,0.0026474818484562065,0.027260564116760647,45,85,20
72,hybrid_weighted,tfidf_combined_enriched,mrr,0.016212161406886222,0.002666175887460381,0.0310989748137548,24,118,8
72,hybrid_rrf,tfidf_combined_enriched,recall@50,0.01578427175071382,-0.0038977687566600456,0.03502496859308675,31,104,15
72,hybrid_rrf,tfidf_combined_enriched,recall@100,0.01106135710131653,-0.002062069127064056,0.024747789820801988,18,117,15
72,hybrid_rrf,tfidf_combined_enriched,ndcg@10,0.002867043750309039,-0.028516068888342107,0.03221487041568956,63,42,45
72,hybrid_rrf,tfidf_combined_enriched,mrr,0.024744594568821034,-0.015181600050286426,0.06469779579687784,35,85,30
72,hybrid_candidate_union,tfidf_combined_enriched,recall@50,-0.040762305200146905,-0.07570644366872459,-0.008459649669132754,25,93,32
72,hybrid_candidate_union,tfidf_combined_enriched,recall@100,-0.06199792975395764,-0.09742429154176825,-0.02572445595499067,18,96,36
72,hybrid_candidate_union,tfidf_combined_enriched,ndcg@10,0.004238258414607999,-0.017560622737703913,0.02227793935246832,55,62,33
72,hybrid_candidate_union,tfidf_combined_enriched,mrr,0.021824946189756143,0.005140596954686832,0.038379194793490605,25,116,9
82,semantic_e5_small,tfidf_combined_enriched,recall@50,-0.08727334153204096,-0.12939224106196937,-0.04608704085264757,19,75,56
82,semantic_e5_small,tfidf_combined_enriched,recall@100,-0.06117775851474067,-0.098288828666436,-0.021373773722003435,13,86,51
82,semantic_e5_small,tfidf_combined_enriched,ndcg@10,-0.0746380901667849,-0.11664762861418491,-0.03287040821819783,43,30,77
82,semantic_e5_small,tfidf_combined_enriched,mrr,-0.0723511956350861,-0.12904878767689348,-0.013354311417383021,32,66,52
82,hybrid_weighted,tfidf_combined_enriched,recall@50,-0.0039256614025511005,-0.022694931850293847,0.018689445823965787,17,110,23
82,hybrid_weighted,tfidf_combined_enriched,recall@100,-0.0032044499459601217,-0.022357374285933797,0.018123059449098998,7,128,15
82,hybrid_weighted,tfidf_combined_enriched,ndcg@10,0.01099870111575871,-0.0038812071806448908,0.02563567601402586,44,81,25
82,hybrid_weighted,tfidf_combined_enriched,mrr,0.029318198478439375,0.012210301899727013,0.04853794531150822,23,120,7
82,hybrid_rrf,tfidf_combined_enriched,recall@50,0.008273051919599686,-0.011293747201855674,0.03236713080552949,20,107,23
82,hybrid_rrf,tfidf_combined_enriched,recall@100,0.022039931984759575,0.004016727452934351,0.044708131261665736,13,125,12
82,hybrid_rrf,tfidf_combined_enriched,ndcg@10,0.02375110576807313,0.0006864070150589609,0.04519435675427074,62,40,48
82,hybrid_rrf,tfidf_combined_enriched,mrr,0.042853886033661984,0.0006419942802238579,0.08415924684285551,39,88,23
82,hybrid_candidate_union,tfidf_combined_enriched,recall@50,-0.030239307590826357,-0.060860209197040945,0.005471089039345453,20,90,40
82,hybrid_candidate_union,tfidf_combined_enriched,recall@100,-0.03507807114374599,-0.06800566912213966,-0.002217618156695236,14,96,40
82,hybrid_candidate_union,tfidf_combined_enriched,ndcg@10,0.016327873905222157,-0.0016687529506401791,0.0329141493208855,52,74,24
82,hybrid_candidate_union,tfidf_combined_enriched,mrr,0.031570667416998106,0.009009376430077294,0.05495311342313677,27,115,8
