segment,method,recall@50_mean,recall@50_count,recall@100_mean,recall@100_count,mrr_mean,mrr_count,ndcg@10_mean,ndcg@10_count
long_query,semantic_e5_small,0.8102332731683343,129,0.864535588215638,129,0.7003341063520276,129,0.5860911728248857,129
long_query,tfidf_combined_enriched,0.8661816106131425,129,0.9281086229946736,129,0.7272059902661151,129,0.6421639787365594,129
low_lexical_overlap,bm25_enriched_k1.2_b0.75,0.0,11,0.0,11,0.0,11,0.0,11
low_lexical_overlap,hybrid_candidate_union,0.34469696969696967,11,0.36742424242424243,11,0.25018037518037517,11,0.13651099352724197,11
low_lexical_overlap,hybrid_rrf,0.5568181818181818,11,0.6136363636363636,11,0.2753912753912754,11,0.13617490993380865,11
low_lexical_overlap,hybrid_weighted,0.45454545454545453,11,0.571900826446281,11,0.24984091337714975,11,0.13928231487524612,11
low_lexical_overlap,semantic_e5_small,0.3409090909090909,11,0.36742424242424243,11,0.2797306397306398,11,0.19712118451867972,11
low_lexical_overlap,tfidf_combined_enriched,0.45454545454545453,11,0.48925619834710743,11,0.2321113924489452,11,0.11354919930586363,11
medium_lexical_overlap,bm25_enriched_k1.2_b0.75,0.4789591944003709,66,0.5920517613699432,66,0.21207958055703147,66,0.1927520640580606,66
medium_lexical_overlap,hybrid_candidate_union,0.613602250159385,66,0.7235241253570834,66,0.3611898147270453,66,0.3341111327138655,66
medium_lexical_overlap,hybrid_rrf,0.6425825866756067,66,0.7500921682845408,66,0.4370018659331858,66,0.37604220279455286,66
medium_lexical_overlap,hybrid_weighted,0.658803980989458,66,0.727283059530456,66,0.35869684407233815,66,0.32980505062508114,66
medium_lexical_overlap,semantic_e5_small,0.5468909024073674,66,0.6804319011819715,66,0.3868160138456367,66,0.30032777375714687,66
medium_lexical_overlap,tfidf_combined_enriched,0.5786044466525749,66,0.7310709383183348,66,0.3334587758171301,66,0.31723123605948417,66
medium_query,bm25_enriched_k1.2_b0.75,0.8605518944389812,255,0.9150888069242866,255,0.749833154630095,255,0.655907498894853,255
medium_query,hybrid_candidate_union,0.8509215025514001,255,0.9076310784135971,255,0.7392428373999581,255,0.6421909938051563,255
medium_query,hybrid_rrf,0.8748850320042987,255,0.9340718881167475,255,0.7532097886808472,255,0.6563953028572985,255
medium_query,hybrid_weighted,0.874290040264037,255,0.9156355692408144,255,0.7399543150837363,255,0.6376808499959289,255
medium_query,semantic_e5_small,0.8116380541312546,255,0.8757464327543946,255,0.6896014506256114,255,0.597797075248844,255
medium_query,tfidf_combined_enriched,0.8527806526261216,255,0.9132993044045495,255,0.7198387008476655,255,0.6249327557414268,255
model_code_query,bm25_enriched_k1.2_b0.75,0.8897163120567375,47,0.9095744680851063,47,0.6031661600810537,47,0.6004484101892942,47
model_code_query,hybrid_candidate_union,0.8368794326241136,47,0.8847517730496455,47,0.6120199852990842,47,0.5815768864488915,47
model_code_query,hybrid_rrf,0.8801418439716312,47,0.9677304964539007,47,0.6777528922149353,47,0.6454848262572429,47
model_code_query,hybrid_weighted,0.8613475177304964,47,0.8968085106382978,47,0.6168013699928594,47,0.5772098884964261,47
model_code_query,semantic_e5_small,0.8166666666666667,47,0.848049645390071,47,0.6410646091497155,47,0.63009406263152,47
model_code_query,tfidf_combined_enriched,0.8570921985815603,47,0.875531914893617,47,0.5623008954986427,47,0.5450555536312934,47
number_heavy_query,bm25_enriched_k1.2_b0.75,0.8897163120567375,47,0.9095744680851063,47,0.6031661600810537,47,0.6004484101892942,47
number_heavy_query,hybrid_candidate_union,0.8368794326241136,47,0.8847517730496455,47,0.6120199852990842,47,0.5815768864488915,47
number_heavy_query,hybrid_rrf,0.8801418439716312,47,0.9677304964539007,47,0.6777528922149353,47,0.6454848262572429,47
number_heavy_query,hybrid_weighted,0.8613475177304964,47,0.8968085106382978,47,0.6168013699928594,47,0.5772098884964261,47
number_heavy_query,semantic_e5_small,0.8166666666666667,47,0.848049645390071,47,0.6410646091497155,47,0.63009406263152,47
number_heavy_query,tfidf_combined_enriched,0.8570921985815603,47,0.875531914893617,47,0.5623008954986427,47,0.5450555536312934,47
rare_token_query,bm25_enriched_k1.2_b0.75,0.8178619986189158,688,0.8689076313653908,688,0.7299978117426296,688,0.6466047229789571,688
rare_token_query,hybrid_candidate_union,0.8051339398118315,688,0.8499101597356898,688,0.7269738251323925,688,0.6321843910768864,688
rare_token_query,hybrid_rrf,0.847835719548895,688,0.9133516994689824,688,0.7190025437207272,688,0.631281505364576,688
rare_token_query,hybrid_weighted,0.8462099072733202,688,0.8999987994943311,688,0.7192344261032001,688,0.6321571880946316,688
rare_token_query,semantic_e5_small,0.7421010469250211,688,0.805364614892638,688,0.6408262469146976,688,0.5379772217284807,688
rare_token_query,tfidf_combined_enriched,0.8342346154906566,688,0.8993137643961079,688,0.6960626827298765,688,0.6200207860276998,688
short_query,bm25_enriched_k1.2_b0.75,0.7336639746407545,366,0.7904372354721027,366,0.6672164266332862,366,0.59034299389656,366
short_query,hybrid_candidate_union,0.7304437513013486,366,0.7711893690076688,366,0.6831801610476451,366,0.5807632390582183,366
short_query,hybrid_rrf,0.7901866829551709,366,0.8622024031854942,366,0.6702558827417131,366,0.5724279940196532,366
short_query,hybrid_weighted,0.7841090311701833,366,0.8505832541376229,366,0.6729272313336533,366,0.5858398464554109,366
short_query,semantic_e5_small,0.6348983242471449,366,0.7156721668938271,366,0.5707313459842359,366,0.45770588888082564,366
short_query,tfidf_combined_enriched,0.7752256077281319,366,0.8521755402551182,366,0.6493685716219686,366,0.574390343668447,366
