seed,method,candidate_coverage,zero_result_rate,relevant_product_availability,recall@1,hit_rate@1,precision@1,recall@5,hit_rate@5,precision@5,recall@10,hit_rate@10,precision@10,recall@20,hit_rate@20,precision@20,recall@50,hit_rate@50,precision@50,recall@100,hit_rate@100,precision@100,mrr,map@10,map@100,ndcg@10
52,hybrid_rrf,1.0,0.0,1.0,0.17855615324111485,0.64,0.64,0.4576034429612688,0.8733333333333333,0.4826666666666667,0.5780782879579484,0.92,0.37666666666666665,0.7074776356363731,0.9533333333333334,0.2836666666666667,0.8424452487264588,0.96,0.17506666666666665,0.8984785671012313,0.9666666666666667,0.10699999999999998,0.7364912874566575,0.44960811751105645,0.574690942746069,0.6400894198751881
52,hybrid_candidate_union,1.0,0.0,1.0,0.1748090604646103,0.6733333333333333,0.6733333333333333,0.4406670960959055,0.8333333333333334,0.4853333333333334,0.5688492096585646,0.9,0.3853333333333333,0.6870992237459962,0.9333333333333333,0.282,0.8179531617901978,0.9666666666666667,0.17,0.8504443031960386,0.9733333333333334,0.09786666666666666,0.7537636771912634,0.4578698990397683,0.5668470096183402,0.6452475923568078
62,tfidf_combined_enriched,1.0,0.0,1.0,0.11639933549705801,0.5066666666666667,0.5066666666666667,0.41805585391760475,0.8333333333333334,0.432,0.5609674729428363,0.8866666666666667,0.3573333333333333,0.674844984745079,0.9266666666666666,0.26466666666666666,0.8164740247325916,0.9533333333333334,0.15733333333333335,0.884579991911778,0.9666666666666667,0.09586666666666666,0.6423894069596379,0.40298892317328616,0.5176759738637408,0.5730417736372299
62,bm25_enriched_k1.2_b0.75,1.0,0.0,1.0,0.14890668462940715,0.62,0.62,0.4493444999051869,0.8533333333333334,0.47600000000000003,0.5946617031610026,0.9066666666666666,0.38266666666666665,0.6905629796842279,0.92,0.2706666666666666,0.8086370989283629,0.9533333333333334,0.1570666666666667,0.8692688673759975,0.96,0.09419999999999999,0.718135651404414,0.4679176078680729,0.5775083935697028,0.6334286463057701
62,semantic_e5_small,1.0,0.0,1.0,0.12148266007008847,0.52,0.52,0.3659487831981369,0.78,0.4000000000000001,0.4988646827480206,0.8666666666666667,0.31866666666666665,0.6017005430291844,0.8933333333333333,0.23566666666666666,0.7315628727365455,0.9333333333333333,0.13653333333333337,0.7960143534124368,0.9466666666666667,0.08366666666666667,0.636212631343686,0.360610229379506,0.4529653140915852,0.5274515874085184
62,hybrid_weighted,1.0,0.0,1.0,0.118383462481185,0.5266666666666666,0.5266666666666666,0.4188066923574294,0.8533333333333334,0.44133333333333324,0.5601155323302575,0.9066666666666666,0.36600000000000005,0.6930004794503728,0.9466666666666667,0.2706666666666667,0.8266645995759891,0.9533333333333334,0.1592,0.884579991911778,0.9666666666666667,0.09586666666666666,0.665340561269637,0.40887482187437596,0.5259768352261648,0.5843620942470387
62,hybrid_rrf,1.0,0.0,1.0,0.12244574464346716,0.56,0.56,0.43997076734284357,0.88,0.4826666666666667,0.564191833455535,0.92,0.3726666666666667,0.6937927963151239,0.9466666666666667,0.26966666666666667,0.805833000322778,0.9466666666666667,0.15586666666666665,0.8992553715976931,0.9733333333333334,0.09533333333333334,0.690394457920751,0.42065620939370285,0.5335636633551067,0.6004645809446632
62,hybrid_candidate_union,1.0,0.0,1.0,0.1276956317933543,0.5533333333333333,0.5533333333333333,0.42737212964345495,0.8533333333333334,0.4506666666666666,0.5615486070986263,0.9133333333333333,0.3706666666666667,0.6759865031842063,0.94,0.271,0.7734269006205714,0.94,0.15186666666666668,0.8267924394973261,0.96,0.08573333333333333,0.6786106067525001,0.424079457377432,0.5234409688535715,0.5952131757170682
72,tfidf_combined_enriched,1.0,0.0,1.0,0.11853464934750078,0.5333333333333333,0.5333333333333333,0.41593888137019935,0.8266666666666667,0.48800000000000004,0.5801273735803182,0.8933333333333333,0.3966666666666667,0.707657293092727,0.9333333333333333,0.28833333333333333,0.8333413744142685,0.9733333333333334,0.156,0.9016535662375259,0.98,0.08946666666666667,0.6668930242113025,0.44546618312585395,0.5655902275759236,0.6069009857053436
72,bm25_enriched_k1.2_b0.75,1.0,0.0,1.0,0.14013400339846777,0.6066666666666667,0.6066666666666667,0.43952431010850035,0.8266666666666667,0.5239999999999999,0.5902566556710545,0.8933333333333333,0.4146666666666667,0.7314285009980218,0.92,0.3046666666666667,0.8286615815361467,0.94,0.15853333333333333,0.8741389443107337,0.96,0.088,0.7099534222325907,0.4802292573259379,0.6032110681366063,0.639282112872408
