seed,model,ndcg@1,ndcg@3,ndcg@5,ndcg@10,mrr,precision@5,recall@5,map@5,precision@10,recall@10,map@10,train_seconds,latency_ms_per_row
52,rank_map,0.8766666666666667,0.8851195162870785,0.8816712091840259,0.8980368078006639,0.9322222222222221,0.6584444444444444,0.635157800071838,0.920685185185185,0.5462857142857144,0.7922655519072178,0.9026487171411774,0.7505690420000519,0.0003122668310090283
62,leakage_safe_lexical_baseline,0.85,0.8538081263656784,0.8599546701318143,0.8844179469318832,0.9126666666666665,0.6621111111111111,0.6281431339222845,0.8947499999999998,0.5484523809523809,0.790881741885303,0.8812954449063576,,
62,persisted_v1_reference,0.9,0.8771720426819574,0.8782289976761823,0.8926071565487897,0.9375,0.6767777777777778,0.6277120919580139,0.9113796296296296,0.5464523809523808,0.7883362122267774,0.8937728867472915,,
62,random_forest,0.83,0.8537710236029897,0.8536450037316278,0.8724931990431543,0.8992857142857142,0.6594444444444444,0.6285464816680483,0.8873981481481481,0.5371190476190477,0.784352970974463,0.8745119866465105,,
62,hard_negative_original,0.82,0.8424486724387842,0.8512346106953411,0.8786600793892642,0.8968888888888888,0.6567777777777779,0.626549734182771,0.8861296296296295,0.5451190476190476,0.7922815141082605,0.876617362685815,,
62,hard_negative_weighted,0.83,0.8487057221190876,0.8517049701728828,0.8780615259797651,0.9017301587301587,0.6554444444444444,0.6256953556203134,0.8876481481481481,0.5431190476190477,0.7903285526781607,0.877707431552868,,
62,hard_negative_enriched,0.83,0.8498603675528001,0.8488610628024171,0.8760961066235654,0.9036190476190477,0.6514444444444445,0.6228164682642878,0.8870648148148149,0.5417857142857142,0.7889800161515843,0.8741769830771815,,
62,hard_negative_weighted_enriched,0.84,0.8508059854590593,0.8640724397196877,0.8819452902037822,0.9102222222222222,0.6714444444444445,0.633159315299103,0.8910925925925927,0.5491190476190477,0.7921256584691329,0.8772018266565885,,
62,rank_ndcg_mean,0.8377777777777777,0.8355634233466156,0.8406280978440394,0.8674765971014864,0.8960634920634921,0.6407777777777778,0.6221895844341689,0.8791388888888889,0.534452380952381,0.7822708376392166,0.8646259511211892,0.4311060830000315,0.00042552980364225047
62,rank_ndcg_topk,0.8333333333333334,0.8374172920459951,0.8529387233901121,0.8696074683548053,0.9053333333333332,0.6607777777777778,0.6286937494958382,0.8803518518518516,0.5364523809523809,0.7842955788905511,0.8671159349542285,0.28832966699997087,0.00038082924264688453
62,rank_pairwise,0.8497619047619048,0.8384077910752978,0.8477649006668913,0.8718218200614531,0.9118888888888889,0.6461111111111112,0.6255844764060607,0.8828148148148148,0.5337857142857143,0.7882402216090123,0.8712028239690938,0.6739971249999144,0.0003808876811627674
62,rank_map,0.8244444444444444,0.8384182744084959,0.8472614332358515,0.8686007846982361,0.9028917748917749,0.6554444444444444,0.6282443849156777,0.8767592592592595,0.5371190476190477,0.784445479582623,0.865747289409591,0.7584701250000307,0.0004008541374339724
72,leakage_safe_lexical_baseline,0.82,0.8360131782139729,0.8418900215726787,0.8675465477571549,0.8893333333333334,0.6696666666666666,0.6063542869652259,0.8692037037037036,0.5607539682539683,0.789204415478409,0.8617965650457715,,
72,persisted_v1_reference,0.8066666666666666,0.8477230433717994,0.8516738985710177,0.8719181140111602,0.8866666666666667,0.6816666666666666,0.6102359548211056,0.881324074074074,0.565420634920635,0.789622967390878,0.8712705362391872,,
72,random_forest,0.8033333333333333,0.8277659356088679,0.8278809500146296,0.8502427345422463,0.8811717541717542,0.6576666666666667,0.6006305096448146,0.8590740740740741,0.547420634920635,0.7793683648180971,0.8444045550936423,,
72,hard_negative_original,0.8066666666666666,0.8296583673726222,0.8402995753225593,0.8688954018214842,0.882888888888889,0.6696666666666666,0.6046117322305156,0.8703240740740739,0.5647539682539683,0.7943907721866752,0.8618518067103383,,
72,hard_negative_weighted,0.7966666666666666,0.8174189791529833,0.8275821349668158,0.8545357613682841,0.8756746031746032,0.6603333333333333,0.599497561912162,0.8559259259259259,0.5580873015873017,0.7844872467051477,0.8476012062232301,,
72,hard_negative_enriched,0.7733333333333333,0.8153515995414282,0.8208698696513956,0.8506793355390146,0.8640079365079365,0.655,0.5966114863846391,0.8513333333333335,0.5540873015873016,0.7824335480889492,0.8469058138070044,,
72,hard_negative_weighted_enriched,0.7833333333333333,0.8195184782337308,0.8308152588895922,0.8582703251360637,0.8726666666666665,0.6656666666666666,0.6005602370797207,0.8652777777777777,0.5587539682539684,0.7891409337688441,0.8534611436549926,,
72,rank_ndcg_mean,0.7966666666666666,0.8189855003968706,0.8353830431641895,0.8584612728580029,0.8777700138026225,0.6669999999999999,0.6050390340302618,0.8570648148148147,0.5547539682539683,0.7828436968779388,0.850755030654237,0.49270991700018385,0.0004430259324351728
72,rank_ndcg_topk,0.8133333333333334,0.8281643226254642,0.834212616207834,0.8547732836535302,0.8863411033411033,0.6629999999999999,0.6027757281643557,0.8648148148148148,0.5500873015873017,0.7799372488986218,0.8488685321659528,0.3390520830000696,0.00041552617255730963
72,rank_pairwise,0.83,0.8487541374771997,0.8421618589971456,0.8647470898314012,0.8996428571428571,0.667,0.6048952868729949,0.8752685185185184,0.5554206349206351,0.7833984547047845,0.8607071134626691,0.7500485000000481,0.0004191411877514966
72,rank_map,0.8586666666666667,0.8367750410837961,0.8429586841246015,0.8657030666643349,0.9083064713064714,0.6643333333333333,0.6013461305770826,0.874027777777778,0.5540873015873017,0.7812350815307879,0.8591041530192324,0.8315292499999032,0.000431647190680924
82,leakage_safe_lexical_baseline,0.8466666666666667,0.833526981869154,0.841378821284181,0.8581479907831026,0.9071794871794873,0.6487777777777778,0.6066389610024499,0.873361111111111,0.5383968253968254,0.7694234777319532,0.8561890726043504,,
82,persisted_v1_reference,0.83,0.818175337825199,0.8319014282145781,0.8612116570681966,0.8955555555555554,0.6381111111111111,0.5955286973773968,0.8713981481481483,0.539063492063492,0.7741765041971228,0.8555613515159151,,
82,random_forest,0.84,0.8150599817373021,0.8225807946979222,0.8549342979567646,0.9052222222222223,0.6287777777777778,0.5973454283267925,0.869027777777778,0.5383968253968254,0.7737219832714781,0.8438470511043924,,
82,hard_negative_original,0.82,0.8245510243350621,0.8333334577591783,0.8528564954218141,0.8902727272727274,0.6434444444444445,0.6054397311629404,0.8658888888888888,0.5363968253968253,0.7669756728135598,0.852162699462501,,
82,hard_negative_weighted,0.8466666666666667,0.8310179077237028,0.8404228174055588,0.856089269553237,0.9042222222222221,0.6487777777777778,0.606232756096245,0.8712129629629629,0.537063492063492,0.7703408352282579,0.8526362192407827,,
82,hard_negative_enriched,0.8233333333333334,0.8222467586827924,0.8357504179146134,0.8511431348228998,0.8933333333333333,0.6474444444444444,0.6079931581710754,0.8657407407407408,0.5343968253968254,0.7678107192161698,0.8511342246157722,,
82,hard_negative_weighted_enriched,0.8166666666666667,0.8068161939072446,0.8244421233590942,0.8475997331586269,0.8842301587301588,0.6341111111111112,0.5994578361516335,0.85625,0.5323968253968254,0.7673641579534063,0.8423401717477115,,
82,rank_ndcg_mean,0.8122222222222223,0.8205631352999486,0.8265788705578081,0.8538104217438056,0.8922222222222222,0.6314444444444444,0.6048566710072623,0.8703055555555554,0.5343968253968253,0.7736954689656081,0.8483189258419418,0.4746026249999886,0.00044029122578538804
82,rank_ndcg_topk,0.81,0.8223310266737506,0.8221178065741204,0.8487878982214384,0.8846666666666666,0.6314444444444445,0.5950058008652156,0.8681666666666664,0.533063492063492,0.7692303005460173,0.8449437295288486,0.3308769160000793,0.00044534429432788766
82,rank_pairwise,0.8095555555555556,0.8133672363297186,0.8312332595319065,0.8552681589199688,0.8768888888888887,0.6421111111111111,0.6070137283530753,0.8617314814814813,0.537063492063492,0.7772405728972321,0.8469295718904848,0.7287738750001154,0.0004386700308999949
82,rank_map,0.84,0.8175785287331261,0.8294944883823384,0.8607194131356167,0.9004444444444444,0.6341111111111112,0.6034054727310898,0.8728518518518517,0.5423968253968254,0.7789637077458673,0.8514159528008735,0.8464869580000141,0.0004464295946664264
