seed,model,precision,recall,f1,pr_auc,roc_auc,log_loss,brier,ece,train_seconds
62,sgd_modified_huber,0.5515660809778457,0.3498062015503876,0.4281055440260895,0.34993773913828147,0.6297205535017456,8.12218481870082,0.22539842233015647,0.22542232039436172,0.38328537500001403
62,decision_tree,0.7405857740585774,0.686046511627907,0.7122736418511066,0.7096459428567282,0.9019655079358256,0.5155266376467278,0.0977179442716421,0.05231718742093724,0.3276869579999584
62,random_forest,0.7361177028951116,0.751453488372093,0.7437065451929993,0.7513050408240489,0.9311644221032922,0.27509437859772956,0.08795780161951183,0.024383108891216816,1.1246345000001838
62,extra_trees,0.748421052631579,0.688953488372093,0.7174571140262361,0.7561364870489904,0.9258411590054785,0.2887207642055609,0.09184140865734688,0.039947794561402156,0.4131395419999535
62,hist_gradient_boosting,0.6889699918896999,0.8231589147286822,0.7501103752759382,0.7311181051281694,0.9185636048183334,0.31436605560005554,0.09699156692411683,0.04197281414652583,0.8515795000000708
62,xgb_classifier,0.6845582163501238,0.8032945736434108,0.739188586714222,0.745885405547083,0.9215982356937816,0.313867827750271,0.0982908631174279,0.05206177154814545,0.18623454199996559
72,logistic,0.7743362831858407,0.4608294930875576,0.5777961205117623,0.7276491489885166,0.9245077718331478,0.3319384279155863,0.10727289213016665,0.0806563357894669,0.4717595000001893
72,tuned_logistic,0.7802746566791511,0.41145490454246214,0.5387931034482759,0.7347816039294908,0.9290781934191723,0.3243087618594034,0.10682179137889025,0.08711833005579875,0.5407769169999028
72,linear_svc,0.7786187322611163,0.5418038183015141,0.6389751552795031,0.7366516592851378,0.9259043514245392,,,,0.40594179200002145
72,sgd_log_loss,0.3654836863194047,0.8406846609611587,0.509475364053461,0.35108538812048007,0.6892865914992163,14.146069481699989,0.393516376937377,0.3935664731639569,0.4686230830000113
72,sgd_modified_huber,0.6524741081703107,0.37327188940092165,0.4748743718592965,0.39594339185329464,0.654698550453422,7.2352715463347055,0.20073635344965585,0.20073635344965585,0.5949054590000742
72,decision_tree,0.7721021611001965,0.5174456879526004,0.6196294836420969,0.747145410024517,0.9245329743163025,0.3388416730024588,0.09721600757141885,0.055016849225304615,0.26860066600011123
72,random_forest,0.7663622526636226,0.662936142198815,0.7109071655488881,0.7732829443552411,0.9321260229980317,0.2751988276972831,0.08789526140191933,0.04010726553948067,1.392802624999831
72,extra_trees,0.8016194331983806,0.521395655036208,0.6318308735540487,0.7888192896194796,0.9360301104230787,0.28635079538675556,0.09388722124280653,0.063801310627297,0.4900856660001409
72,hist_gradient_boosting,0.6972826086956522,0.8446346280447663,0.7639178326883,0.7666667799305279,0.9295296798922615,0.28794112605993977,0.09008923600063022,0.03313137538486802,0.9120824579999862
72,xgb_classifier,0.6973684210526315,0.8025016458196181,0.746250382614019,0.770840175222219,0.9283856124732519,0.29266504145238065,0.09318689034953116,0.056475626460984835,0.21288754200008952
82,logistic,0.7586547972304649,0.5178933153274814,0.615569823434992,0.7517759700027077,0.9240431711734886,0.3191051370132989,0.10224139464988621,0.07202496126550112,0.47010533299999224
82,tuned_logistic,0.7471466198419666,0.574611748818366,0.649618320610687,0.7433724368860793,0.9156966361557854,0.3241409507527285,0.10150704345493827,0.05558098298521898,0.3668585829998392
82,linear_svc,0.7426160337552743,0.5941931127616475,0.660165041260315,0.7468990189062278,0.9197717057271411,,,,0.3673847909999495
82,sgd_log_loss,0.7015625,0.30317353139770425,0.4233851956624234,0.40983687503242516,0.6523635142811376,7.135812058511783,0.19899516751975266,0.19906789397173816,0.6166564999998627
82,sgd_modified_huber,0.7072808320950966,0.3214044564483457,0.44196843082636955,0.3909240578878002,0.6395739570959017,7.052656906026178,0.19566986814260134,0.19566986814260134,0.4531877079998594
82,decision_tree,0.7432432432432432,0.6313301823092505,0.6827309236947792,0.7225686469384028,0.9142419162675746,0.4969951291208829,0.09846612858346028,0.03107032670459003,0.24156437500005268
82,random_forest,0.7213663764233088,0.7272113436866982,0.7242770679219905,0.7722210784956021,0.9339500830047758,0.2735504147157269,0.08806631217673358,0.025614873778191372,1.3278192919999583
82,extra_trees,0.7627944760357434,0.6340310600945307,0.6924778761061947,0.7714510343680457,0.9363514425972226,0.2781376301711607,0.09069975596226972,0.04664255188442802,0.5090518750000683
82,hist_gradient_boosting,0.6675503711558854,0.850101282916948,0.7478467478467479,0.75230058652069,0.9313440719585216,0.30261052713904013,0.09684663413341303,0.05420380027078173,0.9246634159999303
82,xgb_classifier,0.6843891402714932,0.8170155300472653,0.744844567559249,0.7523173258411973,0.9302770746052313,0.289220565343343,0.09270103119005528,0.036543890825061466,0.20477887499987446
