seed,retrieval_mode,policy,recall@10,recall@20,recall@50,recall@100,precision@10,map@10,ndcg@10,mrr,candidate_recall@100
62,tfidf,retrieval_only,0.5609674729428363,0.674844984745079,0.8164740247325916,0.884579991911778,0.3573333333333333,0.40298892317328616,0.5730417736372299,0.6423894069596379,0.884579991911778
62,tfidf,v1_relevance,0.4917587970991124,0.6187700288497654,0.789714968040286,0.884579991911778,0.3313333333333333,0.35733841684589795,0.5342919343346747,0.646781086035472,0.884579991911778
62,tfidf,experimental_ranker,0.4917587970991124,0.6187700288497654,0.789714968040286,0.884579991911778,0.3313333333333333,0.35733841684589795,0.5342919343346747,0.646781086035472,0.884579991911778
62,tfidf,blended_policy,0.4917587970991124,0.6187700288497654,0.789714968040286,0.884579991911778,0.3313333333333333,0.35733841684589795,0.5342919343346747,0.646781086035472,0.884579991911778
62,hybrid_rrf,retrieval_only,0.5812844341554887,0.7070480609824414,0.8220715215006453,0.8992553715976931,0.37666666666666665,0.42424590499827464,0.6060743324477522,0.6912008420492292,0.8992553715976931
62,hybrid_rrf,v1_relevance,0.5087523943529323,0.6387765610266132,0.8130119792317186,0.8992553715976931,0.336,0.3668200488060193,0.5468241036545173,0.6522316102943038,0.8992553715976931
62,hybrid_rrf,experimental_ranker,0.5087523943529323,0.6387765610266132,0.8130119792317186,0.8992553715976931,0.336,0.3668200488060193,0.5468241036545173,0.6522316102943038,0.8992553715976931
62,hybrid_rrf,blended_policy,0.5087523943529323,0.6387765610266132,0.8130119792317186,0.8992553715976931,0.336,0.3668200488060193,0.5468241036545173,0.6522316102943038,0.8992553715976931
72,tfidf,retrieval_only,0.5801273735803182,0.707657293092727,0.8333413744142685,0.9016535662375259,0.3966666666666667,0.44546618312585395,0.6069009857053436,0.6668930242113025,0.9016535662375259
72,tfidf,v1_relevance,0.49215370128627645,0.6257079898182093,0.7783367471419248,0.9016535662375259,0.3440000000000001,0.3547518873282447,0.5237112812131905,0.6206799433748724,0.9016535662375259
72,tfidf,experimental_ranker,0.49215370128627645,0.6257079898182093,0.7783367471419248,0.9016535662375259,0.3440000000000001,0.3547518873282447,0.5237112812131905,0.6206799433748724,0.9016535662375259
72,tfidf,blended_policy,0.49215370128627645,0.6257079898182093,0.7783367471419248,0.9016535662375259,0.3440000000000001,0.3547518873282447,0.5237112812131905,0.6206799433748724,0.9016535662375259
72,hybrid_rrf,retrieval_only,0.5784645815216327,0.7128961488020518,0.8491256461649824,0.9127149233388424,0.3926666666666667,0.44043678945449755,0.6097680294556528,0.6916376187801235,0.9127149233388424
72,hybrid_rrf,v1_relevance,0.49622150324388353,0.6396293508529048,0.7910052855777367,0.9127149233388424,0.3486666666666666,0.3599771394885972,0.5305339220313114,0.6285037257525248,0.9127149233388424
72,hybrid_rrf,experimental_ranker,0.49622150324388353,0.6396293508529048,0.7910052855777367,0.9127149233388424,0.3486666666666666,0.3599771394885972,0.5305339220313114,0.6285037257525248,0.9127149233388424
72,hybrid_rrf,blended_policy,0.49622150324388353,0.6396293508529048,0.7910052855777367,0.9127149233388424,0.3486666666666666,0.3599771394885972,0.5305339220313114,0.6285037257525248,0.9127149233388424
82,tfidf,retrieval_only,0.5511247062910035,0.6780925678596436,0.8240961452683776,0.875375307912876,0.37,0.43244658060109314,0.6038656011156225,0.6872505757475593,0.875375307912876
82,tfidf,v1_relevance,0.4811845247603438,0.6203015227940456,0.7722881281230272,0.875375307912876,0.3453333333333333,0.35481559176890726,0.5222813511292154,0.5777444831616458,0.875375307912876
82,tfidf,experimental_ranker,0.4811845247603438,0.6203015227940456,0.7722881281230272,0.875375307912876,0.3453333333333333,0.35481559176890726,0.5222813511292154,0.5777444831616458,0.875375307912876
82,tfidf,blended_policy,0.4811845247603438,0.6203015227940456,0.7722881281230272,0.875375307912876,0.3453333333333333,0.35481559176890726,0.5222813511292154,0.5777444831616458,0.875375307912876
